id,genre,track_name,artist_name,valence,energy
7zkLpY72g6lKQbiHDqri1S,acoustic,Sunrise,Norah Jones,0.679,0.299
7DneDMOlQ1ol2bd2tWukd2,acoustic,Mercy - Radio 1 Live Lounge Session (Duffy cover),OneRepublic,0.815,0.53
1c7UYTut2SBOPq64o2t0uN,acoustic,Why Georgia,John Mayer,0.369,0.639
6vFUFJzXkbbW2YHWt3tIom,acoustic,Cowboys and Angels - Edit,Various Artists,0.403,0.639
20p75WXHObYQcvc1ffp7ik,acoustic,Trololo Song,Mr. Trololo,0.636,0.613
6hUScKZXCeLfAhFKnLUdhI,acoustic,Passion Play,William Fitzsimmons,0.11,0.506
3JiiqMYLbnHa1qys1JOpFK,acoustic,Cannonball,Damien Rice,0.439,0.284
4AFBHrMN93QKtyQP5Pmz1t,acoustic,Perfect,Various Artists,0.598,0.432
4o0NjemqhmsYLIMwlcosvW,acoustic,The Funeral,Band of Horses,0.127,0.769
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,0.168,0.44
5NTA3dsB2DlLaSG1KM6RTh,acoustic,The River,Bruce Springsteen,0.594,0.554
1jKCHKZtGjXVRPN2Px368r,acoustic,"Tonight, Tonight",Tyler Ward,0.728,0.413
0wplliChn9Ikt3n9XoXt1S,acoustic,Dream Catch Me,Newton Faulkner,0.58,0.722
1siB1tZUrkVyC0HiGHzeCn,acoustic,Say Yes,Elliott Smith,0.418,0.0875
2voFmcVmg8HJIjKtVrdXjj,acoustic,Say Something (feat. Carly Rose Sonenclar),Boyce Avenue,0.0948,0.127
2wTm4lzLG4EKQxhWHF9VGG,acoustic,Scene Four - Don't You Ever Forget About Me,Sleeping With Sirens,0.364,0.684
3SktMqZmo3M9zbB7oKMIF7,acoustic,Gravity,John Mayer,0.237,0.326
11gqufRVufobe8jGNHmibY,acoustic,Gone Tomorrow,The Staves,0.0933,0.239
10XX3YDY7X0jQfwjpveRvh,acoustic,Make You Feel My Love,ortoPilot,0.292,0.212
277Q2UaF8FeL7WNWQgzdlk,acoustic,Place To Be,Nick Drake,0.432,0.234
5OiaAaIMYlCZONyDBxqk4G,acoustic,First Day Of My Life,Bright Eyes,0.385,0.201
6Pw4WKCH1bfULx3vrxYMwe,acoustic,Moves Like Jagger,Tyler Ward,0.962,0.659
1uXHWnZ85lhAf19DRzU3Oz,acoustic,Walking Aimlessly,Anna Ternheim,0.344,0.302
5VFzIzR8nACf9Bad4O73f6,acoustic,Hurt,Johnny Cash,0.157,0.292
70OYqWcYDDm2SJIRFmz3wo,acoustic,Längesen,Petter,0.458,0.46
0VRWmkhxjjERPMMbZEOcDo,acoustic,Send Me on My Way,Various Artists,0.768,0.682
6Vc5wAMmXdKIAM7WUoEb7N,acoustic,Say Something,A Great Big World,0.0765,0.147
4cNjkFy1U24mrlbdHcc2Vq,acoustic,Waterfalls,ortoPilot,0.837,0.532
2bkobNV1AyahJ2sbGriUyW,acoustic,Fields of Gold (feat. Eva Cassidy),Michael Bolton,0.236,0.109
1KzxgnTo2nKbuiTlJPKCjc,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372
5gcj6l37gMBeSAjFnSKeWh,acoustic,Chasing Pavements (Live at Hotel Cafe),Adele,0.202,0.267
0gw9t8io80CCz8XuH440PC,acoustic,How We Do (Party) - Live from Spotify NYC,Rita Ora,0.866,0.575
0SuG9kyzGRpDqrCWtgD6Lq,acoustic,Give Me Love,Ed Sheeran,0.11,0.328
5ydPIlHBSV0w2Mo2ichlmR,acoustic,If You're Not The One,Various Artists,0.306,0.5
3wsZYuHJrk3lssa7V7jvye,acoustic,Poison & Wine,The Civil Wars,0.203,0.186
4VJgrWjrkodaGiq3xKz62z,acoustic,Sometimes (I Wish),City and Colour,0.135,0.467
1SZ63wN0pk18Dr4Epyhcsf,acoustic,Tainted Love,Hannah Peel,0.437,0.192
0KpfYajJVVGgQ32Dby7e9i,acoustic,"Hey, Soul Sister",Train,0.768,0.885
7AlVeahkUlCgpkA1VKAT3e,acoustic,Don't Look Back In Anger,Various Artists,0.271,0.312
3LHg768dEKqJKht2uPTlVR,acoustic,Ghosts,Laura Marling,0.75,0.368
7AYoXqCtME90flUOpBJM7i,acoustic,Society,Eddie Vedder,0.295,0.329
6c2msV3o5jfcMiFHe0XWgu,afrobeat,Djelika,Toumani Diabaté,0.481,0.48
5GxgujqhBRtSufmlUpmxTQ,afrobeat,Jambo Bwana,Various Artists,0.526,0.796
4H8hksp4inM3qnujTPWW3h,afrobeat,Djôn'maya,Victor Démé,0.302,0.319
3UIn5t7o6zz1vdJJfeb9Yh,afrobeat,Moziki,Staff Benda Bilili,0.931,0.885
3F7o4t1uwmrZwym5iNiGbV,afrobeat,Yangiluma Inkukhu (The Biting Chicken),Ladysmith Black Mambazo,0.739,0.347
161fk9qHtXsdHPzIGLFHWo,afrobeat,Yabis,Various Artists,0.639,0.629
2yrAD69v6rP6bZhIjs7kOy,afrobeat,Set,Youssou N'Dour,0.786,0.684
5k3U0OGYBccHdKJJu3HrUN,afrobeat,"Hakuna Matata - From ""The Lion King""/Soundtrack",Various Artists,0.725,0.313
3q3fajucnQJuVlk7nM0jw1,afrobeat,Chet Boghassa,Tinariwen,0.808,0.611
2K15Edv21Uw9Cv5tBh8s9O,afrobeat,Bozos,Amadou & Mariam,0.935,0.774
2dusgrGoIoPLqtf1UpcSZT,afrobeat,Gat Me High,May D,0.658,0.899
6i2YA4WM3FqwyO7UX7XWbx,afrobeat,Zumba,Don Omar,0.838,0.9
6EhMqP60LFRqfABN4Pc2wP,afrobeat,Kala Djula,Ali Farka Touré,0.786,0.43
2mFG5xZ9Uz9v4ks0QnwK5i,afrobeat,"Circle of Life - From ""The Lion King""/ Soundtrack",Various Artists,0.553,0.391
4Jh36W007VJNNj0O7TSZRe,afrobeat,Nchi Ya Kitu Kidogo,Eric Wainaina,0.919,0.703
14BhrzVVp17v3miP1tlj8q,afrobeat,Chop & Quench (Jeun Ko Ku),Fela Kuti,0.613,0.686
1D7QWJ0nQ4OrLHnEJEYOhC,afrobeat,4-4-44,Youssou N'Dour,0.468,0.77
0JhKJg5ejeQ8jq89UQtnw8,afrobeat,Levels - Radio Edit,Avicii,0.415,0.881
